timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603123511577,11938,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-14,text,true,,133226,135,5,39,https://pokeapi.co/api/v2/pokemon/torterra,5867,0,4913
1603123519478,4114,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Buizel 2-29,text,true,,59226,141,16,38,https://pokeapi.co/api/v2/pokemon/418/encounters,769,0,0
1603123517787,5875,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-15,text,true,,60329,133,13,37,https://pokeapi.co/api/v2/pokemon/gogoat,3143,0,2402
1603123512377,11314,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-12,text,true,,133226,135,4,37,https://pokeapi.co/api/v2/pokemon/torterra,4958,0,4014
1603123510789,12960,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-3,text,true,,246049,136,5,36,https://pokeapi.co/api/v2/pokemon/charizard,5074,0,4307
1603123515786,8042,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-1,text,true,,60329,133,14,37,https://pokeapi.co/api/v2/pokemon/gogoat,3181,0,1540
1603123522070,1779,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Buizel 2-12,text,true,,59226,141,15,37,https://pokeapi.co/api/v2/pokemon/418/encounters,711,0,0
1603123516636,7264,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-2,text,true,,127024,133,14,36,https://pokeapi.co/api/v2/pokemon/buizel,2234,0,1617
1603123516787,7152,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-8,text,true,,60329,133,14,35,https://pokeapi.co/api/v2/pokemon/gogoat,4666,0,4065
1603123518167,5862,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-23,text,true,,127024,133,13,35,https://pokeapi.co/api/v2/pokemon/buizel,2109,0,1391
1603123523265,785,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-7,text,true,,1207,141,14,34,https://pokeapi.co/api/v2/pokemon/673/encounters,785,0,0
1603123517248,6834,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-1,text,true,,127024,133,12,34,https://pokeapi.co/api/v2/pokemon/buizel,2153,0,1424
1603123523361,778,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-10,text,true,,1207,141,14,33,https://pokeapi.co/api/v2/pokemon/673/encounters,778,0,0
1603123516678,7531,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Buizel 2-11,text,true,,59226,141,11,33,https://pokeapi.co/api/v2/pokemon/418/encounters,2833,0,0
1603123517580,6642,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-30,text,true,,127024,133,10,32,https://pokeapi.co/api/v2/pokemon/buizel,2101,0,1309
1603123516327,7989,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-3,text,true,,60329,133,14,31,https://pokeapi.co/api/v2/pokemon/gogoat,6629,0,5170
1603123523662,748,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-15,text,true,,1207,141,14,31,https://pokeapi.co/api/v2/pokemon/673/encounters,748,0,0
1603123514948,9468,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-2,text,true,,246042,136,5,31,https://pokeapi.co/api/v2/pokemon/charizard,1905,0,1321
1603123520477,3960,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-5,text,true,,60329,133,14,31,https://pokeapi.co/api/v2/pokemon/gogoat,3041,0,2323
1603123523784,687,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-3,text,true,,1207,139,5,31,https://pokeapi.co/api/v2/pokemon/6/encounters,687,0,0
1603123523830,676,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-1,text,true,,1207,141,14,31,https://pokeapi.co/api/v2/pokemon/673/encounters,676,0,0
1603123523940,637,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-8,text,true,,1207,141,14,31,https://pokeapi.co/api/v2/pokemon/673/encounters,637,0,0
1603123524317,619,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-3,text,true,,1207,141,14,31,https://pokeapi.co/api/v2/pokemon/673/encounters,619,0,0
1603123521786,3164,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-13,text,true,,60329,133,14,31,https://pokeapi.co/api/v2/pokemon/gogoat,2280,0,1502
1603123524421,589,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-2,text,true,,1207,139,5,31,https://pokeapi.co/api/v2/pokemon/6/encounters,589,0,0
1603123524437,589,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-5,text,true,,1207,141,14,31,https://pokeapi.co/api/v2/pokemon/673/encounters,589,0,0
1603123516740,8534,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-24,text,true,,127024,133,9,31,https://pokeapi.co/api/v2/pokemon/buizel,6947,0,4820
1603123517526,7771,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-15,text,true,,133226,135,3,30,https://pokeapi.co/api/v2/pokemon/torterra,3240,0,2492
1603123506977,18326,HTTP Request - GET Torterra,200,OK,Ult. Thread Group - Torterra 1-8,text,true,,133226,135,2,29,https://pokeapi.co/api/v2/pokemon/torterra,13189,0,12459
1603123521284,4033,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-25,text,true,,127024,133,8,28,https://pokeapi.co/api/v2/pokemon/buizel,2157,0,1429
